iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
296	256	294	256	340	256	294	340
297	257	295	257	340	257	295	340
298	257	295	257	340	257	295	340
299	257	295	257	340	257	295	340
300	257	295	257	340	257	295	340
301	256	294	256	340	256	294	340
302	256	294	256	340	256	294	340
303	257	295	257	340	257	295	340
304	257	295	257	340	257	295	340
305	257	295	257	340	257	295	340
306	257	295	257	340	257	295	340
307	257	295	257	340	257	295	340
308	257	295	257	340	257	295	340
309	257	295	257	340	257	295	340
310	257	295	257	340	257	295	340
311	257	295	257	340	257	295	340
312	257	295	257	340	257	295	340
313	258	296	258	340	258	296	340
314	258	296	258	340	258	296	340
315	257	295	257	340	257	295	340
316	258	296	258	340	258	296	340
317	258	296	258	340	258	296	340
318	259	297	259	340	259	297	340
319	259	297	259	340	259	297	340
320	259	297	259	340	259	297	340
321	259	297	259	340	259	297	340
322	259	297	259	340	259	297	340
323	259	297	259	340	259	297	340
324	258	295	258	340	258	295	340
325	258	295	258	340	258	295	340
326	258	295	258	340	258	295	340
327	258	295	258	340	258	295	340
328	258	295	258	340	258	295	340
329	258	295	258	340	258	295	340
330	258	295	258	340	258	295	340
331	258	295	258	340	258	295	340
332	258	295	258	340	258	295	340
333	258	295	258	340	258	295	340
334	258	295	258	340	258	295	340
335	258	295	258	340	258	295	340
336	258	295	258	340	258	295	340
337	258	295	258	340	258	295	340
338	258	295	258	340	258	295	340
339	258	295	258	340	258	295	340
340	258	295	258	340	258	295	340
341	259	296	259	340	259	296	340
342	259	296	259	340	259	296	340
343	260	298	260	340	260	298	340
344	260	297	260	340	260	297	340
345	260	297	260	340	260	297	340
346	259	296	259	340	259	296	340
347	259	296	259	340	259	296	340
348	259	296	259	340	259	296	340
349	259	296	259	340	259	296	340
350	259	296	259	340	259	296	340
351	259	296	259	340	259	296	340
352	259	296	259	340	259	296	340
353	259	296	259	340	259	296	340
354	260	297	260	340	260	297	340
355	260	297	260	340	260	297	340
356	260	297	260	340	260	297	340
357	260	297	260	340	260	297	340
358	260	297	260	340	260	297	340
359	260	297	260	340	260	297	340
360	260	297	260	340	260	297	340
361	261	298	261	340	261	298	340
362	261	298	261	340	261	298	340
363	261	298	261	340	261	298	340
364	261	298	261	340	261	298	340
365	261	298	261	340	261	298	340
366	261	298	261	340	261	298	340
367	261	298	261	340	261	298	340
368	261	298	261	340	261	298	340
369	261	298	261	340	261	298	340
370	261	298	261	340	261	298	340
371	261	298	261	340	261	298	340
372	261	298	261	340	261	298	340
373	261	298	261	340	261	298	340
374	261	298	261	340	261	298	340
375	261	298	261	340	261	298	340
376	261	298	261	340	261	298	340
377	261	299	261	340	261	299	340
378	263	300	263	340	263	300	340
379	263	300	263	340	263	300	340
380	263	301	263	340	263	301	340
381	263	301	263	340	263	301	340
382	263	301	263	340	263	301	340
383	263	300	263	340	263	300	340
384	263	300	263	340	263	300	340
385	263	300	263	340	263	300	340
386	262	299	262	340	262	299	340
387	262	299	262	340	262	299	340
388	262	299	262	340	262	299	340
389	262	299	262	340	262	299	340
390	262	299	262	340	262	299	340
391	262	299	262	340	262	299	340
392	262	299	262	340	262	299	340
393	262	299	262	340	262	299	340
394	262	299	262	340	262	299	340
395	262	299	262	340	262	299	340
396	262	299	262	340	262	299	340
397	262	299	262	340	262	299	340
398	262	299	262	340	262	299	340
399	262	299	262	340	262	299	340
400	262	299	262	340	262	299	340
401	262	299	262	340	262	299	340
402	262	299	262	340	262	299	340
403	262	299	262	340	262	299	340
404	262	299	262	340	262	299	340
405	262	299	262	340	262	299	340
406	262	299	262	340	262	299	340
407	262	299	262	340	262	299	340
408	262	299	262	340	262	299	340
409	262	299	262	340	262	299	340
410	262	299	262	340	262	299	340
411	262	299	262	340	262	299	340
412	262	299	262	340	262	299	340
413	262	299	262	340	262	299	340
414	262	299	262	340	262	299	340
415	262	299	262	340	262	299	340
416	262	299	262	340	262	299	340
417	262	299	262	340	262	299	340
418	262	299	262	340	262	299	340
419	262	299	262	340	262	299	340
420	262	299	262	340	262	299	340
421	262	299	262	340	262	299	340
422	262	299	262	340	262	299	340
423	262	299	262	340	262	299	340
424	262	299	262	340	262	299	340
425	262	299	262	340	262	299	340
426	262	298	262	340	262	298	340
427	264	300	264	340	264	300	340
428	263	299	263	340	263	299	340
429	263	299	263	340	263	299	340
430	263	299	263	340	263	299	340
431	263	299	263	340	263	299	340
432	263	299	263	340	263	299	340
433	263	299	263	340	263	299	340
434	263	299	263	340	263	299	340
435	263	299	263	340	263	299	340
436	264	300	264	340	264	300	340
437	264	301	264	340	264	301	340
438	264	301	264	340	264	301	340
439	265	302	265	340	265	302	340
440	266	303	266	340	266	303	340
441	266	303	266	340	266	303	340
442	266	303	266	340	266	303	340
443	266	303	266	340	266	303	340
444	266	303	266	340	266	303	340
445	266	303	266	340	266	303	340
446	266	303	266	340	266	303	340
447	266	303	266	340	266	303	340
448	266	303	266	340	266	303	340
449	266	303	266	340	266	303	340
450	266	303	266	340	266	303	340
451	266	303	266	340	266	303	340
452	266	303	266	340	266	303	340
453	266	303	266	340	266	303	340
454	266	303	266	340	266	303	340
455	266	302	266	340	266	302	340
456	266	302	266	340	266	302	340
457	266	302	266	340	266	302	340
458	266	302	266	340	266	302	340
459	266	302	266	340	266	302	340
460	266	302	266	340	266	302	340
461	266	302	266	340	266	302	340
462	266	302	266	340	266	302	340
463	266	301	266	340	266	301	340
464	266	301	266	340	266	301	340
465	266	301	266	340	266	301	340
466	266	301	266	340	266	301	340
467	266	301	266	340	266	301	340
468	266	301	266	340	266	301	340
469	266	301	266	340	266	301	340
470	266	301	266	340	266	301	340
471	266	301	266	340	266	301	340
472	266	301	266	340	266	301	340
473	266	301	266	340	266	301	340
474	266	301	266	340	266	301	340
475	266	301	266	340	266	301	340
476	266	301	266	340	266	301	340
477	266	301	266	340	266	301	340
478	266	301	266	340	266	301	340
479	266	301	266	340	266	301	340
480	266	301	266	340	266	301	340
481	266	301	266	340	266	301	340
482	266	301	266	340	266	301	340
483	266	301	266	340	266	301	340
484	266	301	266	340	266	301	340
485	266	301	266	340	266	301	340
486	266	300	266	340	266	300	340
487	266	301	266	340	266	301	340
488	266	301	266	340	266	301	340
489	266	300	266	340	266	300	340
490	266	300	266	340	266	300	340
491	266	300	266	340	266	300	340
492	266	299	266	340	266	299	340
493	266	299	266	340	266	299	340
494	266	299	266	340	266	299	340
495	266	299	266	340	266	299	340
496	266	299	266	340	266	299	340
497	266	299	266	340	266	299	340
498	266	299	266	340	266	299	340
499	266	298	266	340	266	298	340
500	266	298	266	340	266	298	340
501	266	298	266	340	266	298	340
502	266	298	266	340	266	298	340
503	267	299	267	340	267	299	340
504	266	298	266	340	266	298	340
505	267	299	267	340	267	299	340
506	267	299	267	340	267	299	340
507	267	300	267	340	267	300	340
508	267	299	267	340	267	299	340
509	267	299	267	340	267	299	340
510	267	300	267	340	267	300	340
511	267	300	267	340	267	300	340
512	267	300	267	340	267	300	340
513	267	300	267	340	267	300	340
514	267	300	267	340	267	300	340
515	267	300	267	340	267	300	340
516	267	300	267	340	267	300	340
517	268	301	268	340	268	301	340
518	268	301	268	340	268	301	340
519	268	301	268	340	268	301	340
520	268	301	268	340	268	301	340
521	268	301	268	340	268	301	340
522	269	302	269	340	269	302	340
523	269	302	269	340	269	302	340
524	269	302	269	340	269	302	340
525	269	302	269	340	269	302	340
526	269	302	269	340	269	302	340
527	269	302	269	340	269	302	340
528	269	302	269	340	269	302	340
529	269	302	269	340	269	302	340
530	269	302	269	340	269	302	340
531	269	302	269	340	269	302	340
532	269	302	269	340	269	302	340
533	269	302	269	340	269	302	340
534	269	302	269	340	269	302	340
535	269	302	269	340	269	302	340
536	269	302	269	340	269	302	340
537	269	302	269	340	269	302	340
538	269	302	269	340	269	302	340
539	269	302	269	340	269	302	340
540	269	302	269	340	269	302	340
541	269	302	269	340	269	302	340
542	269	302	269	340	269	302	340
543	270	303	270	340	270	303	340
544	270	303	270	340	270	303	340
545	270	303	270	340	270	303	340
546	270	303	270	340	270	303	340
547	270	303	270	340	270	303	340
548	270	303	270	340	270	303	340
549	270	303	270	340	270	303	340
550	270	303	270	340	270	303	340
551	270	303	270	340	270	303	340
552	270	303	270	340	270	303	340
553	270	301	270	340	270	301	340
554	270	301	270	340	270	301	340
555	270	301	270	340	270	301	340
556	270	301	270	340	270	301	340
557	270	301	270	340	270	301	340
558	272	303	272	340	272	303	340
559	272	303	272	340	272	303	340
560	272	302	272	340	272	302	340
561	272	303	272	340	272	303	340
562	272	302	272	340	272	302	340
563	272	302	272	340	272	302	340
564	272	302	272	340	272	302	340
565	272	302	272	340	272	302	340
566	272	302	272	340	272	302	340
567	272	302	272	340	272	302	340
568	272	302	272	340	272	302	340
569	272	302	272	340	272	302	340
570	272	302	272	340	272	302	340
571	272	302	272	340	272	302	340
572	272	302	272	340	272	302	340
573	272	302	272	340	272	302	340
574	272	301	272	340	272	301	340
575	272	301	272	340	272	301	340
576	272	301	272	340	272	301	340
577	272	301	272	340	272	301	340
578	272	301	272	340	272	301	340
579	272	302	272	340	272	302	340
580	272	301	272	340	272	301	340
581	272	301	272	340	272	301	340
582	273	302	273	340	273	302	340
583	273	302	273	340	273	302	340
584	273	302	273	340	273	302	340
585	273	302	273	340	273	302	340
586	272	301	272	340	272	301	340
587	273	302	273	340	273	302	340
588	273	303	273	340	273	303	340
589	274	304	274	340	274	304	340
590	274	304	274	340	274	304	340
591	274	304	274	340	274	304	340
592	274	304	274	340	274	304	340
593	273	303	273	340	273	303	340
594	273	302	273	340	273	302	340
595	273	302	273	340	273	302	340
596	273	302	273	340	273	302	340
597	273	302	273	340	273	302	340
598	273	302	273	340	273	302	340
599	273	302	273	340	273	302	340
600	273	302	273	340	273	302	340
601	273	302	273	340	273	302	340
602	273	302	273	340	273	302	340
603	273	302	273	340	273	302	340
604	273	302	273	340	273	302	340
605	273	302	273	340	273	302	340
606	273	302	273	340	273	302	340
607	273	302	273	340	273	302	340
608	273	302	273	340	273	302	340
609	273	302	273	340	273	302	340
610	273	302	273	340	273	302	340
611	273	302	273	340	273	302	340
612	273	302	273	340	273	302	340
613	273	302	273	340	273	302	340
614	273	302	273	340	273	302	340
615	273	302	273	340	273	302	340
616	273	302	273	340	273	302	340
617	273	302	273	340	273	302	340
618	273	302	273	340	273	302	340
619	273	302	273	340	273	302	340
620	273	302	273	340	273	302	340
621	273	302	273	340	273	302	340
622	273	302	273	340	273	302	340
623	273	302	273	340	273	302	340
624	273	302	273	340	273	302	340
625	273	302	273	340	273	302	340
626	273	302	273	340	273	302	340
627	273	302	273	340	273	302	340
628	273	302	273	340	273	302	340
629	273	302	273	340	273	302	340
630	273	302	273	340	273	302	340
631	273	302	273	340	273	302	340
632	273	302	273	340	273	302	340
633	273	302	273	340	273	302	340
634	273	302	273	340	273	302	340
635	273	302	273	340	273	302	340
636	273	302	273	340	273	302	340
637	273	302	273	340	273	302	340
638	273	302	273	340	273	302	340
639	273	302	273	340	273	302	340
640	273	303	273	340	273	303	340
641	273	303	273	340	273	303	340
642	273	303	273	340	273	303	340
643	273	302	273	340	273	302	340
644	273	302	273	340	273	302	340
645	273	302	273	340	273	302	340
646	273	302	273	340	273	302	340
647	273	302	273	340	273	302	340
648	273	302	273	340	273	302	340
649	273	302	273	340	273	302	340
650	273	302	273	340	273	302	340
651	273	302	273	340	273	302	340
652	273	302	273	340	273	302	340
653	273	302	273	340	273	302	340
654	273	302	273	340	273	302	340
655	273	302	273	340	273	302	340
656	273	302	273	340	273	302	340
657	273	302	273	340	273	302	340
658	274	303	274	340	274	303	340
659	274	303	274	340	274	303	340
660	275	304	275	340	275	304	340
661	275	304	275	340	275	304	340
662	275	304	275	340	275	304	340
663	275	304	275	340	275	304	340
664	275	304	275	340	275	304	340
665	275	304	275	340	275	304	340
666	275	304	275	340	275	304	340
667	275	304	275	340	275	304	340
668	275	304	275	340	275	304	340
669	275	304	275	340	275	304	340
670	275	304	275	340	275	304	340
671	275	304	275	340	275	304	340
672	275	304	275	340	275	304	340
673	275	304	275	340	275	304	340
674	275	304	275	340	275	304	340
675	275	304	275	340	275	304	340
676	275	304	275	340	275	304	340
677	275	304	275	340	275	304	340
678	275	304	275	340	275	304	340
679	275	304	275	340	275	304	340
680	275	304	275	340	275	304	340
681	275	304	275	340	275	304	340
682	275	304	275	340	275	304	340
683	275	304	275	340	275	304	340
684	275	304	275	340	275	304	340
685	275	304	275	340	275	304	340
686	275	304	275	340	275	304	340
687	275	304	275	340	275	304	340
688	275	304	275	340	275	304	340
689	275	304	275	340	275	304	340
690	275	304	275	340	275	304	340
691	275	304	275	340	275	304	340
692	275	304	275	340	275	304	340
693	275	304	275	340	275	304	340
694	275	304	275	340	275	304	340
695	275	304	275	340	275	304	340
696	275	304	275	340	275	304	340
697	275	304	275	340	275	304	340
698	275	304	275	340	275	304	340
699	275	304	275	340	275	304	340
700	275	304	275	340	275	304	340
701	275	304	275	340	275	304	340
702	275	304	275	340	275	304	340
703	275	304	275	340	275	304	340
704	275	304	275	340	275	304	340
705	275	304	275	340	275	304	340
706	275	304	275	340	275	304	340
707	275	304	275	340	275	304	340
708	275	304	275	340	275	304	340
709	275	304	275	340	275	304	340
710	275	304	275	340	275	304	340
711	275	304	275	340	275	304	340
712	275	304	275	340	275	304	340
713	275	304	275	340	275	304	340
714	275	304	275	340	275	304	340
715	275	303	275	340	275	303	340
716	275	304	275	340	275	304	340
717	275	304	275	340	275	304	340
718	275	304	275	340	275	304	340
719	275	304	275	340	275	304	340
720	275	304	275	340	275	304	340
721	275	304	275	340	275	304	340
722	275	303	275	340	275	303	340
723	275	303	275	340	275	303	340
724	275	303	275	340	275	303	340
725	275	303	275	340	275	303	340
726	275	304	275	340	275	304	340
727	275	304	275	340	275	304	340
728	275	304	275	340	275	304	340
729	275	304	275	340	275	304	340
730	275	304	275	340	275	304	340
731	275	304	275	340	275	304	340
732	275	304	275	340	275	304	340
733	275	304	275	340	275	304	340
734	275	304	275	340	275	304	340
735	275	304	275	340	275	304	340
736	275	304	275	340	275	304	340
737	275	304	275	340	275	304	340
738	275	304	275	340	275	304	340
739	275	304	275	340	275	304	340
740	275	304	275	340	275	304	340
741	275	304	275	340	275	304	340
742	275	304	275	340	275	304	340
743	275	304	275	340	275	304	340
744	275	304	275	340	275	304	340
745	275	304	275	340	275	304	340
746	275	304	275	340	275	304	340
747	275	304	275	340	275	304	340
748	275	304	275	340	275	304	340
749	275	304	275	340	275	304	340
750	275	304	275	340	275	304	340
751	275	304	275	340	275	304	340
752	275	304	275	340	275	304	340
753	275	304	275	340	275	304	340
754	275	304	275	340	275	304	340
755	275	304	275	340	275	304	340
756	275	304	275	340	275	304	340
757	275	304	275	340	275	304	340
758	275	304	275	340	275	304	340
759	275	304	275	340	275	304	340
760	275	304	275	340	275	304	340
761	275	304	275	340	275	304	340
762	275	304	275	340	275	304	340
763	275	304	275	340	275	304	340
764	275	304	275	340	275	304	340
765	275	304	275	340	275	304	340
766	275	303	275	340	275	303	340
767	275	303	275	340	275	303	340
768	275	303	275	340	275	303	340
769	275	303	275	340	275	303	340
770	275	303	275	340	275	303	340
771	275	303	275	340	275	303	340
772	275	303	275	340	275	303	340
773	275	303	275	340	275	303	340
774	275	303	275	340	275	303	340
775	275	303	275	340	275	303	340
776	275	303	275	340	275	303	340
777	275	303	275	340	275	303	340
778	275	303	275	340	275	303	340
779	275	303	275	340	275	303	340
780	275	303	275	340	275	303	340
781	275	303	275	340	275	303	340
782	275	303	275	340	275	303	340
783	275	303	275	340	275	303	340
784	275	303	275	340	275	303	340
785	275	303	275	340	275	303	340
786	275	303	275	340	275	303	340
787	275	303	275	340	275	303	340
788	275	303	275	340	275	303	340
789	275	303	275	340	275	303	340
790	275	303	275	340	275	303	340
791	275	303	275	340	275	303	340
792	275	303	275	340	275	303	340
793	275	303	275	340	275	303	340
794	275	303	275	340	275	303	340
795	275	303	275	340	275	303	340
796	275	303	275	340	275	303	340
797	275	303	275	340	275	303	340
